,year,capacity,diameter,region,user,revenues,q,p,Md,M,Q0,s_j,s_jd,s_0,cpi98,p98,p98in000,p_us_oem,p_us_pcm,p_nonus_oem,p_nonus_pcm,priceIV1,priceIV2,priceIV3,capaMB,lncapaMB,lnsjs0,lnsjd,_3inch,_NonUS,_PCM,diameter_capacity,FirstYearOfDiameterCapacity,NofYearsInMktOfDiameterCapacity,year_diameter,FrontierCapacityOfDiameter,NofFirmsInDiameterCapacity,NofProductsInDiameter,NofFirmsInDiameter,FirstYearOfDiameter,NofYearsInMktOfDiameter
446,1996,11.0,5.25,US,PCM,64.5999984741211,48.0,1.3458333,1749.5,31090.300048828125,929.0,0.0015438899,0.027436411,0.029880702,0.9625767,1.398157,0.001398157,1.3975284,1.398157,1.4417087,1.6032071,1.4417087,1.6032071,1.3975284,7500.0,8.922658,-2.9629078,-3.5958843,0.0,0.0,1.0,5.25_11,1995,2.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
447,1996,10.0,5.25,US,OEM,0.30000001192092896,1.5,0.2,2864.199951171875,43626.100341796875,55.0,3.4383087e-05,0.00052370643,0.0012607132,0.9625767,0.20777565,0.00020777565,0.20777565,0.20777565,,,0.20777565,,,4000.0,8.294049,-3.6018682,-7.5545793,0.0,0.0,0.0,5.25_10,1993,4.0,1996_5.25,12,2.0,15.0,7.0,1979.0,18.0
448,1996,13.0,5.25,US,PCM,19.0,10.0,1.9,1749.5,31090.300048828125,929.0,0.00032164372,0.0057159187,0.029880702,0.9625767,1.9738687,0.0019738688,,1.9738687,,,,,,30000.0,10.308952,-4.5315237,-5.1645,0.0,0.0,1.0,5.25_13,1996,1.0,1996_5.25,12,1.0,15.0,7.0,1979.0,18.0
449,1996,6.0,5.25,US,OEM,1.0,1.0,1.0,2864.199951171875,43626.100341796875,55.0,2.2922059e-05,0.00034913764,0.0012607132,0.9625767,1.0388783,0.0010388783,1.0388783,1.2466539,1.5583174,,1.5583174,1.2466539,,400.0,5.9914646,-4.0073333,-7.9600444,0.0,0.0,0.0,5.25_6,1985,12.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
450,1996,6.0,5.25,US,PCM,0.6000000238418579,0.5,1.2,1749.5,31090.300048828125,929.0,1.6082186e-05,0.00028579595,0.029880702,0.9625767,1.2466539,0.001246654,1.0388783,1.2466539,1.5583174,,1.5583174,1.0388783,,400.0,5.9914646,-7.527256,-8.160233,0.0,0.0,1.0,5.25_6,1985,12.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
451,1996,9.0,5.25,US,PCM,128.10000610351562,650.0,0.19707693,1749.5,31090.300048828125,929.0,0.020906841,0.37153473,0.029880702,0.9625767,0.20473894,0.00020473894,0.2047288,0.20473894,0.952305,,0.952305,0.2047288,,2500.0,7.824046,-0.35713643,-0.9901129,0.0,0.0,1.0,5.25_9,1991,6.0,1996_5.25,12,2.0,15.0,7.0,1979.0,18.0
452,1996,11.0,5.25,US,OEM,324.20001220703125,241.0,1.3452283,2864.199951171875,43626.100341796875,55.0,0.0055242158,0.08414217,0.0012607132,0.9625767,1.3975284,0.0013975285,1.3975284,1.398157,1.4417087,1.6032071,1.6032071,1.4417087,1.398157,7500.0,8.922658,1.4774637,-2.4752474,0.0,0.0,0.0,5.25_11,1995,2.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
453,1996,11.0,5.25,Non-US,OEM,13.600000381469727,9.800000190734863,1.3877552,16.100000321865082,9580.400098741055,0.0,0.0010229218,0.6086956,0.0,0.9625767,1.4417087,0.0014417086,1.3975284,1.398157,1.4417087,1.6032071,1.398157,1.3975284,1.6032071,7500.0,8.922658,,-0.49643692,0.0,1.0,0.0,5.25_11,1995,2.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
454,1996,6.0,5.25,Non-US,OEM,2.0999999046325684,1.399999976158142,1.5,16.100000321865082,9580.400098741055,0.0,0.00014613169,0.086956516,0.0,0.9625767,1.5583174,0.0015583175,1.0388783,1.2466539,1.5583174,,1.2466539,1.0388783,,400.0,5.9914646,,-2.442347,0.0,1.0,0.0,5.25_6,1985,12.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
455,1996,7.0,5.25,Non-US,OEM,0.6000000238418579,0.30000001192092896,2.0,16.100000321865082,9580.400098741055,0.0,3.1313935e-05,0.01863354,0.0,0.9625767,2.0777566,0.0020777567,2.0777566,,2.0777566,,2.0777566,,,750.0,6.6200733,,-3.9827921,0.0,1.0,0.0,5.25_7,1987,10.0,1996_5.25,12,1.0,15.0,7.0,1979.0,18.0
